State,Year,Percent Adults,Sample_Size,Obese_Count,GeoLocation
MN,2011,25.7,14387.0,3697.46,"(46.35564873600049, -94.79420050299967)"
MI,2011,31.3,10579.0,3311.23,"(44.6613195430005, -84.71439026999968)"
ME,2011,27.8,12643.0,3514.75,"(45.254228894000505, -68.98503133599962)"
MA,2011,22.7,20532.0,4660.76,"(42.27687047000046, -72.08269067499964)"
NV,2011,24.5,5205.0,1275.22,"(39.493240390000494, -117.07184056399967)"
PA,2011,28.6,10850.0,3103.1,"(40.79373015200048, -77.86070029399963)"
GA,2011,28.0,9353.0,2618.84,"(32.83968109300048, -83.62758034599966)"
MD,2011,28.3,9450.0,2674.35,"(39.29058096400047, -76.60926011099963)"
VT,2011,25.4,6771.0,1719.83,"(43.62538123900049, -72.51764079099962)"
RI,2011,25.4,6182.0,1570.23,"(41.70828019300046, -71.52247031399963)"
WA,2011,26.5,13896.0,3682.44,"(47.52227862900048, -120.47001078999972)"
AZ,2011,25.1,6150.0,1543.65,"(34.865970280000454, -111.76381127699972)"
UT,2011,24.4,11918.0,2907.99,"(39.360700171000474, -111.58713063499971)"
CA,2011,23.8,17088.0,4066.94,"(37.63864012300047, -120.99999953799971)"
TX,2011,30.4,14024.0,4263.3,"(31.827240407000488, -99.42677020599967)"
WV,2011,32.4,4958.0,1606.39,"(38.66551020200046, -80.71264013499967)"
CO,2011,20.7,12976.0,2686.03,"(38.843840757000464, -106.13361092099967)"
AR,2011,30.9,4527.0,1398.84,"(34.74865012400045, -92.27449074299966)"
TN,2011,29.2,5575.0,1627.9,"(35.68094058000048, -85.77449091399967)"
VA,2011,29.2,6151.0,1796.09,"(37.54268067400045, -78.45789046299967)"
AK,2011,27.4,3336.0,914.06,"(64.84507995700051, -147.72205903599973)"
SC,2011,30.8,12352.0,3804.42,"(33.998821303000454, -81.04537120699968)"
DE,2011,28.8,4530.0,1304.64,"(39.008830667000495, -75.57774116799965)"
WY,2011,25.0,6565.0,1641.25,"(43.23554134300048, -108.10983035299967)"
SD,2011,28.1,7820.0,2197.42,"(44.353130053000484, -100.3735306369997)"
WI,2011,27.7,4941.0,1368.66,"(44.39319117400049, -89.81637074199966)"
CT,2011,24.5,6457.0,1581.96,"(41.56266102000046, -72.64984095199964)"
WI,2012,29.7,4966.0,1474.9,"(44.39319117400049, -89.81637074199966)"
WA,2012,26.8,14540.0,3896.72,"(47.52227862900048, -120.47001078999972)"
MO,2012,29.6,6446.0,1908.02,"(38.635790776000476, -92.56630005299968)"
MN,2012,25.7,11429.0,2937.25,"(46.35564873600049, -94.79420050299967)"
MI,2012,31.1,10052.0,3126.17,"(44.6613195430005, -84.71439026999968)"
MA,2012,22.9,19904.0,4558.02,"(42.27687047000046, -72.08269067499964)"
WY,2012,24.6,5976.0,1470.1,"(43.23554134300048, -108.10983035299967)"
WV,2012,33.8,5125.0,1732.25,"(38.66551020200046, -80.71264013499967)"
MT,2012,24.3,8357.0,2030.75,"(47.06652897200047, -109.42442064499971)"
VA,2012,27.4,6948.0,1903.75,"(37.54268067400045, -78.45789046299967)"
MS,2012,34.6,7429.0,2570.43,"(32.745510099000455, -89.53803082499968)"
RI,2012,25.7,5188.0,1333.32,"(41.70828019300046, -71.52247031399963)"
NE,2012,28.6,18385.0,5258.11,"(41.6410409880005, -99.36572062299967)"
OR,2012,27.3,5056.0,1380.29,"(44.56744942400047, -120.15503132599969)"
OK,2012,32.2,7719.0,2485.52,"(35.47203135600046, -97.52107021399968)"
SC,2012,31.6,12210.0,3858.36,"(33.998821303000454, -81.04537120699968)"
OH,2012,30.1,12319.0,3708.02,"(40.06021014100048, -82.40426005599966)"
MD,2012,27.6,11947.0,3297.37,"(39.29058096400047, -76.60926011099963)"
ND,2012,29.7,4625.0,1373.62,"(47.47531977900047, -100.11842104899966)"
SD,2012,28.1,7433.0,2088.67,"(44.353130053000484, -100.3735306369997)"
US,2012,27.7,442230.0,122497.71,
NC,2012,29.6,11113.0,3289.45,"(35.466220975000454, -79.15925046299964)"
NY,2012,23.6,5700.0,1345.2,"(42.82700103200045, -75.54397042699964)"
NM,2012,27.1,8385.0,2272.34,"(34.52088095200048, -106.24058098499967)"
TX,2012,29.2,8530.0,2490.76,"(31.827240407000488, -99.42677020599967)"
NJ,2012,24.6,14477.0,3561.34,"(40.13057004800049, -74.27369128799967)"
NH,2012,27.3,7182.0,1960.69,"(43.65595011300047, -71.50036091999965)"
UT,2012,24.3,11683.0,2838.97,"(39.360700171000474, -111.58713063499971)"
VT,2012,23.7,5791.0,1372.47,"(43.62538123900049, -72.51764079099962)"
TN,2012,31.1,6613.0,2056.64,"(35.68094058000048, -85.77449091399967)"
NV,2012,26.2,4592.0,1203.1,"(39.493240390000494, -117.07184056399967)"
PA,2012,29.1,18893.0,5497.86,"(40.79373015200048, -77.86070029399963)"
AK,2012,25.7,4093.0,1051.9,"(64.84507995700051, -147.72205903599973)"
ID,2012,26.8,5578.0,1494.9,"(43.682630005000476, -114.3637300419997)"
GA,2012,29.1,5737.0,1669.47,"(32.83968109300048, -83.62758034599966)"
FL,2012,25.2,7282.0,1835.06,"(28.932040377000476, -81.92896053899966)"
IL,2012,28.1,5452.0,1532.01,"(40.48501028300046, -88.99771017799969)"
